animal_number,lifenumber,responder,location,visit_time,duration,state,weight,feed_intake
,,,501,2024-05-06 00:10:24,111,0,0,51
50115967,,2315967,501,2024-05-06 00:25:44,451,0,79500,273
50115961,,2315961,501,2024-05-06 00:43:07,330,0,100500,290
50115983,,2315983,501,2024-05-06 00:51:19,299,0,121500,479
50115983,,2315983,501,2024-05-06 00:58:20,241,0,122000,378
50115088,,2315088,501,2024-05-06 01:02:38,281,0,112000,139
50115088,,2315088,501,2024-05-06 01:09:21,597,0,112000,464
50115073,,2315073,501,2024-05-06 01:21:11,23,0,107000,5
50115073,,2315073,501,2024-05-06 01:23:36,297,0,108000,461
50113918,,2313918,501,2024-05-06 01:29:51,187,0,98500,16
50113918,,2313918,501,2024-05-06 01:35:00,491,0,98500,464
50115983,,2315983,501,2024-05-06 01:49:02,258,0,121500,348
50115006,,2315006,501,2024-05-06 01:56:33,449,0,119750,493
50115983,,2315983,501,2024-05-06 02:45:26,231,0,122000,348
50115967,,2315967,501,2024-05-06 02:50:12,208,0,79000,126
50115967,,2315967,501,2024-05-06 02:57:25,191,0,79000,144
50115961,,2315961,501,2024-05-06 03:04:12,305,0,100000,299
50115497,,2315497,501,2024-05-06 03:11:18,421,0,112000,431
50113913,,2313913,501,2024-05-06 03:20:21,242,0,106500,172
50115088,,2315088,501,2024-05-06 03:50:26,410,0,113000,291
50115088,,2315088,501,2024-05-06 03:59:18,531,0,113000,443
50115088,,2315088,501,2024-05-06 04:10:10,517,0,114000,426
50115088,,2315088,501,2024-05-06 04:20:48,355,0,113500,297
50115073,,2315073,501,2024-05-06 04:28:44,406,0,107000,608
50113913,,2313913,501,2024-05-06 04:40:18,304,0,106500,249
50114962,,2314962,501,2024-05-06 04:47:13,297,0,119000,197
50114962,,2314962,501,2024-05-06 04:54:11,560,0,120000,442
50115497,,2315497,501,2024-05-06 05:04:50,9,0,87500,0
50115497,,2315497,501,2024-05-06 05:07:00,420,0,113000,429
50115961,,2315961,501,2024-05-06 05:14:20,35,0,100000,23
50115961,,2315961,501,2024-05-06 05:16:56,416,0,100500,423
50115073,,2315073,501,2024-05-06 05:25:07,17,0,106500,0
50115961,,2315961,501,2024-05-06 05:27:25,403,0,100500,451
50115034,,2315034,501,2024-05-06 05:35:03,16,0,116750,0
,,,501,2024-05-06 05:38:01,1,0,0,13
50115927,,2315927,501,2024-05-06 05:58:21,371,0,105500,361
50115006,,2315006,501,2024-05-06 06:06:34,504,0,119000,494
50113996,,2313996,501,2024-05-06 06:15:37,76,0,118500,19
50113996,,2313996,501,2024-05-06 06:18:55,418,0,119000,429
50113996,,2313996,501,2024-05-06 06:27:55,441,0,119500,452
50113996,,2313996,501,2024-05-06 06:37:18,395,0,120000,430
50115006,,2315006,501,2024-05-06 06:44:40,39,0,118750,2
50115006,,2315006,501,2024-05-06 06:47:20,41,0,40000,15
50115034,,2315034,501,2024-05-06 06:48:05,491,0,117000,434
50115983,,2315983,501,2024-05-06 06:57:20,36,0,121000,0
50115983,,2315983,501,2024-05-06 06:59:58,274,0,122500,412
50115983,,2315983,501,2024-05-06 07:06:34,264,0,123500,413
50115034,,2315034,501,2024-05-06 07:11:18,85,0,117000,57
50115034,,2315034,501,2024-05-06 07:14:44,458,0,118250,433
50115497,,2315497,501,2024-05-06 07:23:02,45,0,112500,8
