animal_number,lifenumber,responder,location,visit_time,duration,state,weight,feed_intake
50214724,,2314724,502,2024-03-21 00:06:33,429,0,43000,222
50212332,,2312332,502,2024-03-21 00:13:54,612,0,47500,268
50215698,,2315698,502,2024-03-21 00:32:24,453,0,54500,378
50214977,,2314977,502,2024-03-21 00:41:00,95,0,52000,49
50214977,,2314977,502,2024-03-21 01:49:57,290,0,51500,149
50214911,,2314911,502,2024-03-21 01:54:59,336,0,49500,186
50215252,,2315252,502,2024-03-21 02:00:43,411,0,44000,191
50215658,,2315658,502,2024-03-21 02:07:50,115,0,48000,68
50215487,,2315487,502,2024-03-21 02:09:49,839,0,50500,426
50215484,,2315484,502,2024-03-21 03:27:43,36,0,42500,4
50214911,,2314911,502,2024-03-21 03:28:31,474,0,48250,240
50215484,,2315484,502,2024-03-21 03:38:26,765,0,42500,372
50213555,,2313555,502,2024-03-21 03:57:25,451,0,46000,256
50213661,,2313661,502,2024-03-21 04:05:08,683,0,55500,359
50215244,,2315244,502,2024-03-21 04:16:40,882,0,46000,491
50212091,,2312091,502,2024-03-21 04:35:39,781,0,51000,459
50213555,,2313555,502,2024-03-21 05:15:59,579,0,47000,411
50215487,,2315487,502,2024-03-21 05:25:58,500,0,51500,253
50212332,,2312332,502,2024-03-21 05:34:30,1289,0,46500,496
50214724,,2314724,502,2024-03-21 05:56:26,579,0,41500,254
50214977,,2314977,502,2024-03-21 06:18:43,410,0,51000,194
50214911,,2314911,502,2024-03-21 06:39:46,158,0,48500,64
50215252,,2315252,502,2024-03-21 07:10:08,1307,0,43500,461
50215658,,2315658,502,2024-03-21 07:31:59,358,0,48000,204
50215484,,2315484,502,2024-03-21 07:38:13,759,0,42500,373
50215698,,2315698,502,2024-03-21 07:50:52,442,0,54000,290
50214724,,2314724,502,2024-03-21 07:59:05,25,0,42000,10
50215658,,2315658,502,2024-03-21 08:04:19,734,0,48000,432
50215668,,2315668,502,2024-03-21 08:28:41,690,0,44000,362
50214911,,2314911,502,2024-03-21 08:42:12,380,0,48500,188
50215487,,2315487,502,2024-03-21 08:48:48,1012,0,50500,558
50212091,,2312091,502,2024-03-21 09:06:59,571,0,50500,281
50213661,,2313661,502,2024-03-21 09:32:40,711,0,55000,314
50212332,,2312332,502,2024-03-21 09:46:33,534,0,46500,154
50215244,,2315244,502,2024-03-21 09:58:00,571,0,46500,336
50215484,,2315484,502,2024-03-21 10:08:10,13,0,42500,0
50215698,,2315698,502,2024-03-21 10:08:34,245,0,53000,189
