animal_number,lifenumber,responder,location,visit_time,duration,state,weight,feed_intake
51114488,,2314488,511,2024-03-22 00:06:08,411,0,55000,259
51115418,,2315418,511,2024-03-22 00:13:42,9,0,55000,0
51115490,,2315490,511,2024-03-22 00:32:38,534,0,58000,268
51115486,,2315486,511,2024-03-22 00:59:57,585,0,49500,318
51115674,,2315674,511,2024-03-22 01:11:43,477,0,52000,299
51114731,,2314731,511,2024-03-22 02:14:31,453,0,48500,254
51113672,,2313672,511,2024-03-22 02:22:23,150,0,62000,72
51111989,,2311989,511,2024-03-22 02:25:25,600,0,64500,469
51112707,,2312707,511,2024-03-22 02:38:29,1326,0,38500,413
51115636,,2315636,511,2024-03-22 03:01:46,346,0,67500,215
51114731,,2314731,511,2024-03-22 03:10:49,318,0,48000,138
51111989,,2311989,511,2024-03-22 03:33:20,282,0,64500,224
51113883,,2313883,511,2024-03-22 03:40:03,697,0,58000,448
51113672,,2313672,511,2024-03-22 03:52:35,120,0,62000,61
51115655,,2315655,511,2024-03-22 04:06:50,565,0,50500,316
51113816,,2313816,511,2024-03-22 04:41:28,542,0,61500,272
51114690,,2314690,511,2024-03-22 05:01:25,1022,0,57000,476
51114731,,2314731,511,2024-03-22 05:36:09,67,0,48000,4
51114731,,2314731,511,2024-03-22 06:36:20,579,0,48000,309
51114488,,2314488,511,2024-03-22 06:47:30,25,0,55000,13
51113672,,2313672,511,2024-03-22 06:50:41,568,0,61000,244
51115490,,2315490,511,2024-03-22 07:08:40,395,0,58000,187
51115418,,2315418,511,2024-03-22 07:18:51,543,0,54000,272
51114488,,2314488,511,2024-03-22 07:54:11,849,0,54500,480
51113816,,2313816,511,2024-03-22 08:08:36,708,0,61000,338
51115655,,2315655,511,2024-03-22 08:20:28,488,0,49000,254
51112707,,2312707,511,2024-03-22 08:28:40,1176,0,38500,352
51111989,,2311989,511,2024-03-22 08:50:02,900,0,63500,569
51115418,,2315418,511,2024-03-22 09:05:15,607,0,55000,310
51115655,,2315655,511,2024-03-22 09:17:23,562,0,50000,259
51115490,,2315490,511,2024-03-22 09:32:44,688,0,58000,350
51115674,,2315674,511,2024-03-22 09:44:20,185,0,51000,117
51113883,,2313883,511,2024-03-22 09:48:39,218,0,57500,115
51115486,,2315486,511,2024-03-22 09:53:12,565,0,49000,283
51115674,,2315674,511,2024-03-22 10:04:08,390,0,50500,150
51113672,,2313672,511,2024-03-22 10:12:40,866,0,60000,352
51114690,,2314690,511,2024-03-22 10:27:14,1027,0,58000,444
51114690,,2314690,511,2024-03-22 10:46:22,70,0,57500,20
51111989,,2311989,511,2024-03-22 11:04:43,601,0,64000,434
51115636,,2315636,511,2024-03-22 11:14:48,1011,0,67000,596
51113816,,2313816,511,2024-03-22 11:34:56,1200,0,62000,686
51114731,,2314731,511,2024-03-22 11:55:00,739,0,48000,448
51113883,,2313883,511,2024-03-22 12:07:19,728,0,57500,422
51115490,,2315490,511,2024-03-22 12:19:35,102,0,58000,9
51113672,,2313672,511,2024-03-22 12:22:23,740,0,61500,379
51115486,,2315486,511,2024-03-22 12:34:47,1001,0,50000,475
51114488,,2314488,511,2024-03-22 12:51:28,675,0,54500,365
51115655,,2315655,511,2024-03-22 13:02:51,138,0,50000,56
51112707,,2312707,511,2024-03-22 13:05:52,27,0,38500,1
51115655,,2315655,511,2024-03-22 13:08:21,674,0,50000,348
51115674,,2315674,511,2024-03-22 13:19:43,794,0,51500,490
51114488,,2314488,511,2024-03-22 13:33:09,20,0,53750,3
51115418,,2315418,511,2024-03-22 13:33:37,817,0,55500,414
51111989,,2311989,511,2024-03-22 13:53:06,182,0,64500,105
51112707,,2312707,511,2024-03-22 13:56:36,920,0,39000,215
51111989,,2311989,511,2024-03-22 14:12:08,381,0,65500,308
51114690,,2314690,511,2024-03-22 14:18:33,1320,0,57500,616
51114488,,2314488,511,2024-03-22 14:43:17,213,0,55000,60
51115674,,2315674,511,2024-03-22 14:47:09,96,0,52000,54
51115490,,2315490,511,2024-03-22 14:49:44,977,0,58000,475
51113816,,2313816,511,2024-03-22 15:06:21,651,0,62500,300
51113883,,2313883,511,2024-03-22 15:17:16,1124,0,58000,728
51114488,,2314488,511,2024-03-22 15:36:13,42,0,55000,0
51115674,,2315674,511,2024-03-22 15:36:59,20,0,52500,0
51112707,,2312707,511,2024-03-22 15:37:19,10,0,38500,0
51115486,,2315486,511,2024-03-22 15:37:33,422,0,51000,227
51115674,,2315674,511,2024-03-22 15:46:37,275,0,52500,164
51114488,,2314488,511,2024-03-22 15:51:16,676,0,55000,378
51115655,,2315655,511,2024-03-22 16:02:36,360,0,50500,203
51115636,,2315636,511,2024-03-22 16:08:36,976,0,68500,628
51115655,,2315655,511,2024-03-22 16:25:01,428,0,51000,238
51112707,,2312707,511,2024-03-22 16:32:09,759,0,39000,218
51114731,,2314731,511,2024-03-22 16:44:56,429,0,47500,224
51115418,,2315418,511,2024-03-22 16:52:05,723,0,55500,399
51111989,,2311989,511,2024-03-22 17:04:12,586,0,65000,437
51114731,,2314731,511,2024-03-22 17:13:58,14,0,64500,5
51113672,,2313672,511,2024-03-22 17:14:16,1183,0,61000,682
51115655,,2315655,511,2024-03-22 17:33:59,116,0,51500,61
51115674,,2315674,511,2024-03-22 17:37:57,563,0,53000,374
51113816,,2313816,511,2024-03-22 17:47:32,1251,0,63000,666
51115490,,2315490,511,2024-03-22 18:08:31,566,0,58500,320
51115655,,2315655,511,2024-03-22 18:18:05,393,0,52000,228
51114731,,2314731,511,2024-03-22 18:24:38,365,0,49000,200
51114488,,2314488,511,2024-03-22 18:31:26,24,0,55500,0
51115418,,2315418,511,2024-03-22 18:33:51,539,0,56000,328
51115636,,2315636,511,2024-03-22 18:43:25,331,0,68000,98
51114488,,2314488,511,2024-03-22 18:50:11,704,0,56000,394
51115655,,2315655,511,2024-03-22 19:02:30,18,0,51000,2
51115655,,2315655,511,2024-03-22 19:04:50,52,0,51000,8
51114731,,2314731,511,2024-03-22 19:32:54,556,0,49000,341
51113672,,2313672,511,2024-03-22 19:42:41,91,0,63000,26
51115486,,2315486,511,2024-03-22 19:44:12,324,0,50000,68
51115636,,2315636,511,2024-03-22 19:49:52,79,0,68000,4
51111989,,2311989,511,2024-03-22 20:07:00,185,0,65000,114
51115636,,2315636,511,2024-03-22 20:10:17,395,0,68500,239
51115486,,2315486,511,2024-03-22 20:50:26,993,0,50000,488
51114690,,2314690,511,2024-03-22 21:31:15,711,0,58500,361
51112707,,2312707,511,2024-03-22 21:43:29,78,0,39000,13
51113672,,2313672,511,2024-03-22 21:45:14,47,0,63000,9
51115490,,2315490,511,2024-03-22 21:47:19,94,0,58500,32
51113672,,2313672,511,2024-03-22 21:49:01,15,0,62500,0
51113672,,2313672,511,2024-03-22 21:54:36,540,0,62500,270
51115674,,2315674,511,2024-03-22 22:06:19,306,0,53000,170
51113672,,2313672,511,2024-03-22 22:11:36,363,0,63500,217
51113816,,2313816,511,2024-03-22 22:19:29,463,0,62500,196
51115636,,2315636,511,2024-03-22 22:27:24,124,0,68500,20
51114488,,2314488,511,2024-03-22 22:34:49,268,0,56000,152
51113883,,2313883,511,2024-03-22 22:39:25,525,0,59000,267
51115655,,2315655,511,2024-03-22 22:48:18,68,0,45500,19
51115490,,2315490,511,2024-03-22 22:52:12,708,0,59500,349
51115655,,2315655,511,2024-03-22 23:04:04,131,0,51500,57
51112707,,2312707,511,2024-03-22 23:06:19,634,0,38500,113
51115655,,2315655,511,2024-03-22 23:16:53,586,0,51500,329
51115418,,2315418,511,2024-03-22 23:26:43,67,0,56500,11
51111989,,2311989,511,2024-03-22 23:28:13,558,0,64500,329
51115418,,2315418,511,2024-03-22 23:39:32,617,0,56500,365
51113672,,2313672,511,2024-03-22 23:50:20,117,0,63500,59
