animal_number,lifenumber,responder,location,visit_time,duration,state,weight,feed_intake
51015411,,2315411,510,2024-03-25 00:01:36,360,0,77500,163
51015411,,2315411,510,2024-03-25 00:09:39,501,0,78000,294
51015634,,2315634,510,2024-03-25 01:11:01,700,0,64000,396
51013663,,2313663,510,2024-03-25 01:23:05,811,0,64500,499
51014917,,2314917,510,2024-03-25 01:36:51,819,0,66500,376
51014709,,2314709,510,2024-03-25 01:50:38,581,0,65500,247
51013610,,2313610,510,2024-03-25 02:07:12,767,0,58000,338
51013949,,2313949,510,2024-03-25 02:20:18,839,0,56500,333
51013684,,2313684,510,2024-03-25 03:17:19,804,0,47500,299
51015494,,2315494,510,2024-03-25 03:31:06,1078,0,62500,659
51012792,,2312792,510,2024-03-25 03:50:19,915,0,63000,418
51012918,,2312918,510,2024-03-25 04:05:57,403,0,53000,228
51014709,,2314709,510,2024-03-25 04:14:41,910,0,65500,480
51014917,,2314917,510,2024-03-25 04:30:07,795,0,66500,401
51015618,,2315618,510,2024-03-25 04:43:53,1385,0,68500,787
51013949,,2313949,510,2024-03-25 05:07:06,1452,0,57000,671
51015411,,2315411,510,2024-03-25 05:31:30,847,0,76500,550
51011790,,2311790,510,2024-03-25 05:45:56,1459,0,57000,917
51015634,,2315634,510,2024-03-25 06:17:08,704,0,63500,395
51014947,,2314947,510,2024-03-25 06:30:54,2047,0,74000,1130
51012792,,2312792,510,2024-03-25 07:05:08,1134,0,63500,602
51013663,,2313663,510,2024-03-25 07:24:41,391,0,64500,208
51013684,,2313684,510,2024-03-25 07:45:29,1197,0,47000,437
51012918,,2312918,510,2024-03-25 08:10:47,272,0,52000,100
51014917,,2314917,510,2024-03-25 08:15:19,848,0,67000,467
51012918,,2312918,510,2024-03-25 08:30:06,417,0,52500,224
51013610,,2313610,510,2024-03-25 08:37:07,1139,0,57000,575
51015618,,2315618,510,2024-03-25 09:04:57,1062,0,70000,606
51011790,,2311790,510,2024-03-25 09:30:37,625,0,57500,283
51015411,,2315411,510,2024-03-25 09:41:22,396,0,78000,282
51013663,,2313663,510,2024-03-25 09:47:58,790,0,64000,515
51015494,,2315494,510,2024-03-25 10:02:14,86,0,61500,7
51012792,,2312792,510,2024-03-25 10:03:40,46,0,63500,22
51013684,,2313684,510,2024-03-25 10:04:46,83,0,47500,28
51012918,,2312918,510,2024-03-25 10:12:32,62,0,52500,28
51013684,,2313684,510,2024-03-25 10:13:42,44,0,47500,8
51012918,,2312918,510,2024-03-25 10:14:37,62,0,52500,37
51013684,,2313684,510,2024-03-25 10:16:23,26,0,47500,8
51014947,,2314947,510,2024-03-25 10:16:57,750,0,76000,449
51014709,,2314709,510,2024-03-25 10:29:32,1644,0,67000,941
51015634,,2315634,510,2024-03-25 10:57:12,1741,0,64000,1055
51013610,,2313610,510,2024-03-25 11:26:25,45,0,57000,20
51012792,,2312792,510,2024-03-25 11:27:18,1113,0,64000,601
51015411,,2315411,510,2024-03-25 12:02:31,1151,0,77000,804
51012918,,2312918,510,2024-03-25 12:21:46,665,0,53000,380
51014917,,2314917,510,2024-03-25 12:32:51,1016,0,67000,571
51013684,,2313684,510,2024-03-25 12:52:30,850,0,48000,349
51013949,,2313949,510,2024-03-25 13:06:44,1310,0,57000,611
51013663,,2313663,510,2024-03-25 13:28:54,1034,0,64000,624
51012918,,2312918,510,2024-03-25 13:46:20,49,0,52500,30
51015618,,2315618,510,2024-03-25 13:47:09,1079,0,71500,603
51013610,,2313610,510,2024-03-25 14:05:08,1142,0,57500,567
51014709,,2314709,510,2024-03-25 14:24:14,711,0,67500,402
51012918,,2312918,510,2024-03-25 14:36:09,505,0,53500,291
51015634,,2315634,510,2024-03-25 14:44:39,268,0,65500,151
51015494,,2315494,510,2024-03-25 14:49:07,1018,0,61000,906
51011790,,2311790,510,2024-03-25 15:06:25,1487,0,58500,969
51013684,,2313684,510,2024-03-25 15:31:12,1323,0,48000,490
51014917,,2314917,510,2024-03-25 15:53:19,962,0,67500,551
51015411,,2315411,510,2024-03-25 16:09:21,802,0,77500,558
51015618,,2315618,510,2024-03-25 16:22:51,1288,0,72000,775
51015634,,2315634,510,2024-03-25 16:44:19,329,0,66500,210
51013949,,2313949,510,2024-03-25 16:49:59,978,0,58000,564
51013663,,2313663,510,2024-03-25 17:06:21,1239,0,64000,860
51015634,,2315634,510,2024-03-25 17:28:03,875,0,65000,633
51014947,,2314947,510,2024-03-25 17:42:46,1648,0,74500,1047
51014709,,2314709,510,2024-03-25 18:10:18,1394,0,67500,919
51013610,,2313610,510,2024-03-25 18:33:36,1055,0,58500,631
51015411,,2315411,510,2024-03-25 18:51:11,861,0,78500,699
51013663,,2313663,510,2024-03-25 19:07:34,433,0,65500,284
51012918,,2312918,510,2024-03-25 19:15:03,785,0,54000,627
51012792,,2312792,510,2024-03-25 19:28:12,1410,0,63500,869
51013949,,2313949,510,2024-03-25 20:04:12,289,0,58500,122
51014917,,2314917,510,2024-03-25 20:09:13,655,0,68500,356
51013684,,2313684,510,2024-03-25 20:24:47,53,0,48500,11
51013610,,2313610,510,2024-03-25 20:26:27,70,0,59000,37
51015494,,2315494,510,2024-03-25 21:03:18,879,0,62500,750
51011790,,2311790,510,2024-03-25 21:18:05,1344,0,58500,929
51015618,,2315618,510,2024-03-25 21:41:36,673,0,71500,351
51014917,,2314917,510,2024-03-25 21:54:44,355,0,68000,215
51013684,,2313684,510,2024-03-25 22:03:22,950,0,48000,409
51013663,,2313663,510,2024-03-25 22:31:20,263,0,65500,176
51015634,,2315634,510,2024-03-25 22:36:14,760,0,65000,491
51013949,,2313949,510,2024-03-25 22:49:46,899,0,58000,375
51014947,,2314947,510,2024-03-25 23:06:47,995,0,77000,506
51014709,,2314709,510,2024-03-25 23:23:41,517,0,68500,257
