animal_number,lifenumber,responder,location,visit_time,duration,state,weight,feed_intake
51215439,,2315439,512,2024-04-05 00:04:33,545,0,60500,295
51215429,,2315429,512,2024-04-05 00:42:34,1181,0,78000,790
51215499,,2315499,512,2024-04-05 01:02:27,920,0,77500,704
51214918,,2314918,512,2024-04-05 01:17:55,238,0,55500,203
51215613,,2315613,512,2024-04-05 01:42:58,1141,0,75000,943
51214719,,2314719,512,2024-04-05 02:02:19,926,0,77500,682
51213025,,2313025,512,2024-04-05 02:18:01,663,0,70500,602
51214002,,2314002,512,2024-04-05 03:00:23,1062,0,59000,536
51213651,,2313651,512,2024-04-05 03:58:32,742,0,71500,655
51214926,,2314926,512,2024-04-05 04:11:06,1408,0,57500,845
51213011,,2313011,512,2024-04-05 04:34:38,1785,0,75500,1081
51214997,,2314997,512,2024-04-05 05:15:50,1287,0,64500,916
51215439,,2315439,512,2024-04-05 05:38:51,1105,0,59500,577
51215429,,2315429,512,2024-04-05 05:57:27,909,0,77500,509
51214604,,2314604,512,2024-04-05 06:36:17,932,0,67500,723
51214772,,2314772,512,2024-04-05 06:52:24,1131,0,69000,742
51213025,,2313025,512,2024-04-05 07:13:17,895,0,70000,681
51214002,,2314002,512,2024-04-05 07:53:16,422,0,58500,196
51214918,,2314918,512,2024-04-05 08:00:18,646,0,54500,449
51215499,,2315499,512,2024-04-05 08:11:16,1128,0,77000,731
51214002,,2314002,512,2024-04-05 08:31:07,279,0,57500,138
51215619,,2315619,512,2024-04-05 08:38:19,1814,0,69500,991
51214926,,2314926,512,2024-04-05 09:09:59,1115,0,57500,609
51215613,,2315613,512,2024-04-05 09:28:34,911,0,73000,577
51215439,,2315439,512,2024-04-05 09:43:56,1106,0,59000,572
51214918,,2314918,512,2024-04-05 10:02:45,32,0,72500,15
51213651,,2313651,512,2024-04-05 10:03:25,262,0,71000,243
51215429,,2315429,512,2024-04-05 10:08:38,560,0,77500,309
51214918,,2314918,512,2024-04-05 10:17:58,120,0,54000,84
51214604,,2314604,512,2024-04-05 10:20:02,110,0,67000,28
51213651,,2313651,512,2024-04-05 10:21:56,560,0,71000,547
51213025,,2313025,512,2024-04-05 10:31:20,728,0,70000,654
51214918,,2314918,512,2024-04-05 10:43:32,42,0,83000,19
51214719,,2314719,512,2024-04-05 10:44:14,1079,0,76000,735
